dataset	pseudocount	shared_neighbors_with_pflog	k	pca_dim
smartSeq3_fibroblasts	0.6201866121799117	46.1029810298103	50	10
smartSeq3_fibroblasts	0.6807907766710105	46.32520325203252	50	10
smartSeq3_fibroblasts	0.7473171340658781	46.520325203252035	50	10
smartSeq3_fibroblasts	0.82034439655507	46.72086720867209	50	10
smartSeq3_fibroblasts	0.9005078276446665	46.951219512195124	50	10
smartSeq3_fibroblasts	0.9885047683078548	47.21951219512195	50	10
smartSeq3_fibroblasts	1.0	47.260162601626014	50	10
smartSeq3_fibroblasts	1.0851007031478448	47.4579945799458	50	10
smartSeq3_fibroblasts	1.1911359193416153	47.66395663956639	50	10
smartSeq3_fibroblasts	1.3075328162905846	47.90243902439025	50	10
smartSeq3_fibroblasts	1.4353039295647885	48.13821138211382	50	10
smartSeq3_fibroblasts	1.5755607389407884	48.3739837398374	50	10
smartSeq3_fibroblasts	1.7295233371543488	48.61788617886179	50	10
smartSeq3_fibroblasts	1.8985310434762805	48.856368563685635	50	10
smartSeq3_fibroblasts	2.0840540544388526	49.10027100271003	50	10
smartSeq3_fibroblasts	2.2877062330623317	49.39566395663957	50	10
smartSeq3_fibroblasts	2.5112591478350246	49.65311653116531	50	10
smartSeq3_fibroblasts	2.7566574835717863	49.97831978319783	50	10
smartSeq3_fibroblasts	2.7665151187990316	50.0	50	10
smartSeq3_fibroblasts	3.026035958209899	49.672086720867206	50	10
smartSeq3_fibroblasts	3.3217378927014054	49.34417344173442	50	10
smartSeq3_fibroblasts	3.646335595541195	49.00271002710027	50	10
smartSeq3_fibroblasts	4.002652739255712	48.669376693766935	50	10
smartSeq3_fibroblasts	4.39378892350509	48.29810298102981	50	10
smartSeq3_fibroblasts	4.823146638473026	47.929539295392956	50	10
smartSeq3_fibroblasts	5.2944608630985535	47.577235772357724	50	10
smartSeq3_fibroblasts	5.811831555624614	47.205962059620596	50	10
smartSeq3_fibroblasts	6.3797593190982544	46.794037940379404	50	10
smartSeq3_fibroblasts	7.0031845520765055	46.36856368563686	50	10
smartSeq3_fibroblasts	7.687530425109384	45.90514905149052	50	10
smartSeq3_fibroblasts	8.438750056852266	45.40379403794038	50	10
smartSeq3_fibroblasts	9.263378300192	44.90243902439025	50	10
smartSeq3_fibroblasts	10.168588588874043	44.43089430894309	50	10
smartSeq3_fibroblasts	11.162255339138651	44.05691056910569	50	10
smartSeq3_fibroblasts	12.253022449197712	43.65040650406504	50	10
smartSeq3_fibroblasts	13.45037849242828	43.24119241192412	50	10
smartSeq3_fibroblasts	14.764739258387847	42.859078590785906	50	10
smartSeq3_fibroblasts	16.20753835967504	42.452574525745256	50	10
smartSeq3_fibroblasts	17.7913266928237	42.05962059620596	50	10
smartSeq3_fibroblasts	19.52988161844016	41.66395663956639	50	10
smartSeq3_fibroblasts	21.438326810340367	41.34959349593496	50	10
smartSeq3_fibroblasts	22.877062330623307	41.11924119241193	50	10
smartSeq3_fibroblasts	23.53326381625385	41.018970189701896	50	10
smartSeq3_fibroblasts	25.832916474539434	40.67750677506775	50	10
smartSeq3_fibroblasts	28.35728944319302	40.30623306233063	50	10
smartSeq3_fibroblasts	31.128342220189147	39.97560975609756	50	10
smartSeq3_fibroblasts	34.170180168958524	39.639566395663955	50	10
smartSeq3_fibroblasts	37.50926421072964	39.26829268292683	50	10
smartSeq3_fibroblasts	41.17464100784714	38.886178861788615	50	10
smartSeq3_fibroblasts	45.19819564042863	38.56910569105691	50	10
smartSeq3_fibroblasts	49.61492897439295	38.1869918699187	50	10
smartSeq3_fibroblasts	54.463262133680836	37.81029810298103	50	10
smartSeq3_fibroblasts	59.78537072527027	37.46341463414634	50	10
smartSeq3_fibroblasts	65.62755172440559	37.070460704607044	50	10
smartSeq3_fibroblasts	72.04062621157335	36.72086720867209	50	10
smartSeq3_fibroblasts	79.08038146462837	36.303523035230356	50	10
smartSeq3_fibroblasts	86.80805625182761	35.89430894308943	50	10
smartSeq3_fibroblasts	95.29087354732921	35.47425474254742	50	10
smartSeq3_fibroblasts	104.6026253032468	35.078590785907856	50	10
smartSeq3_fibroblasts	114.82431436518307	34.7479674796748	50	10
smartSeq3_fibroblasts	126.04485911526312	34.19783197831978	50	10
smartSeq3_fibroblasts	138.36186697234788	33.56639566395664	50	10
smartSeq3_fibroblasts	151.8824834781025	33.043360433604335	50	10
smartSeq3_fibroblasts	166.7243243551082	32.61517615176152	50	10
smartSeq3_fibroblasts	183.01649864498643	32.143631436314365	50	10
