ds,ncells,ngenes,ngenes_filt,alpha,cv_all,cv_filt,stored
GSM3168248,8333,25391,7631,1.70837,1.33077,0.85546,1.33077
GSM3169075,2949,21518,6850,0.14753,2.82131,2.54258,2.82131
GSM3178782,15841,20925,1193,3.43708,3.43832,2.11110,3.43832
GSM3178783,71720,23787,689,0.16597,9.66326,4.15819,9.66326
GSM3178784,17262,22242,2470,0.84220,5.01284,2.96753,5.01284
GSM3178785,6319,20744,2955,0.41300,4.78859,3.66779,4.78859
GSM3178786,8609,21920,2476,0.89373,5.17993,3.62333,5.17994
GSM3273570,3244,27956,13610,0.77588,1.68303,1.37761,1.68303
GSM3302524,13945,34222,9270,67.76000,4.80075,3.51327,4.80075
GSM3302525,6066,33410,13061,5.11000,9.26209,7.36109,9.26209
GSM3309832,7236,26007,6976,0.26000,7.11207,5.64495,7.11207
GSM3309833,1760,24357,11027,0.88000,1.62034,1.43024,1.62034
GSM3309834,4805,26702,9692,0.61000,4.94400,4.02791,4.94400
GSM3309836,9514,28426,9495,0.36000,3.30873,2.66267,3.30873
GSM3319032,5089,23426,4521,0.24000,1.43399,0.93880,1.43399
GSM3319033,2249,21450,5849,0.32000,1.48556,1.24322,1.48556
GSM3319034,2848,22487,6051,0.16000,1.47209,1.14850,1.47209
GSM3319035,3311,23158,5967,0.26000,2.23229,1.80577,2.23229
GSM3319036,3683,23797,6699,0.47000,2.10352,1.70846,2.10352
GSM3319037,2032,21238,6577,0.32000,1.61046,1.36752,1.61046
GSM3319038,4671,23851,5121,0.29000,1.38612,0.95980,1.38612
GSM3319039,3829,22825,5465,0.47000,1.61586,1.24953,1.61586
GSM3319040,643,14422,5660,0.57000,0.88430,0.79338,0.88430
GSM3319041,1270,17489,6062,0.63000,0.98613,0.78501,0.98613
GSM3319042,1181,14690,3185,0.65000,1.01973,0.82437,1.01973
GSM3319043,7286,22298,2713,0.75000,1.77405,1.24444,1.77405
GSM3319044,4274,19555,2611,0.30000,1.60349,1.12539,1.60349
GSM3319045,7040,19278,1711,0.31000,1.96315,1.34703,1.96315
GSM3319046,1675,13014,1307,2.40000,1.18903,1.12633,1.18903
GSM3319047,137,3378,2959,0.34000,0.49144,0.49609,0.49144
GSM3360833,10860,29414,9266,2.78000,5.98689,4.84816,5.98689
GSM3360834,4701,26146,10151,0.28424,2.94441,2.55785,2.94441
GSM3360835,8620,27916,7639,11.54367,7.46211,6.42014,7.46211
GSM3360836,1157,6562,1310,0.29052,1.99343,1.65243,1.99343
GSM3360837,12947,27946,6403,0.63881,6.93830,5.68073,6.93830
GSM3360838,7332,26280,7828,0.41097,2.32501,1.93529,2.32501
GSM3375767,2086,22549,8929,0.73000,1.65431,1.40286,1.65431
GSM3377671,2965,29131,13881,0.60000,2.01967,1.69030,2.01967
GSM3377672,12262,30829,9298,2.86000,1.90896,1.39602,1.90896
GSM3378054,2733,25931,10990,0.39000,1.74521,1.54924,1.74521
GSM3378055,2771,25957,11002,0.34000,1.47032,1.26158,1.47032
GSM3378056,2263,23786,9378,0.37000,1.30474,1.11907,1.30474
GSM3378057,2393,25730,11417,0.26000,1.70316,1.52109,1.70316
GSM3378058,2562,25571,11027,0.25000,1.80006,1.59820,1.80006
GSM3378059,4081,26458,9987,0.40000,1.92875,1.62270,1.92875
GSM3396161,6992,26554,7645,9.16000,9.17112,7.10950,9.17112
GSM3396162,6425,24498,5700,8.35000,11.37977,8.43739,11.37976
GSM3396163,8775,25588,4364,3.81000,4.02935,3.03254,4.02935
GSM3396164,4092,15865,1603,12.61000,2.58146,2.35738,2.58146
GSM3396165,9412,24827,3557,4.97000,4.54210,3.45767,4.54210
GSM3396166,2103,16389,4224,0.30161,2.26511,1.92025,2.26511
GSM3396167,1379,19025,8200,2.36787,2.66446,2.45702,2.66446
GSM3396168,6594,23301,4704,1.03000,3.88498,2.88592,3.88498
GSM3396169,5893,24117,5363,4.59000,4.01409,3.18234,4.01409
GSM3396170,5000,25331,7208,4.60844,4.94762,4.00692,4.94762
GSM3396171,869,18019,8810,2.14724,2.66674,2.61533,2.66674
GSM3396172,4827,24096,6257,7.78000,7.82160,6.17782,7.82160
GSM3396173,9198,23140,4195,4.25107,5.69949,4.32259,5.69949
GSM3396174,5675,24552,6046,11.24000,7.08002,5.70703,7.08002
GSM3396175,6018,24973,6243,1.40000,4.62546,3.76352,4.62546
GSM3396176,6053,23656,6199,2.99000,5.98424,4.49464,5.98424
GSM3396177,1870,9594,1744,1.80000,2.61959,1.92055,2.61959
GSM3396178,12668,20161,1502,9.14072,5.38607,4.28278,5.38607
GSM3396179,6242,25132,6319,6.70000,13.07018,9.97006,13.07018
GSM3396180,1126,15304,4863,0.80000,2.08331,2.21155,2.08331
GSM3396181,6103,25470,6395,7.49000,11.87924,8.95904,11.87924
GSM3396182,200,12072,9209,2.41565,1.15112,1.19842,1.15112
GSM3396183,6179,26251,7000,6.64000,9.68759,7.50993,9.68759
GSM3396184,7926,12427,1073,11.25000,7.76498,4.57322,7.76498
GSM3396185,4260,21567,4439,7.36000,10.03198,7.56430,10.03198
GSM3402078,2914,23723,9896,1.22000,2.18904,1.93976,2.18904
GSM3402080,2021,22341,9220,2.14000,1.21053,0.99918,1.21053
GSM3439913,1994,24898,11437,0.98241,3.03480,2.78398,3.03480
GSM3439914,1616,24622,11785,0.45000,2.39712,2.18414,2.39712
GSM3439915,2241,25220,11410,1.14000,3.84026,3.43706,3.84026
GSM3439916,2324,26166,12063,1.43000,4.19718,3.71189,4.19718
GSM3439917,3407,26176,10617,4.54000,4.41540,3.73273,4.41540
GSM3439918,2998,27180,11923,1.11964,4.56438,3.72246,4.56438
GSM3439919,3001,22684,9262,4.55689,3.46206,2.96855,3.46206
GSM3439920,6796,29960,11261,1.63000,3.24153,2.58599,3.24153
GSM3439921,11005,29129,8914,2.88000,2.87717,2.14181,2.87717
GSM3439922,12785,28754,7582,2.93000,3.10363,2.17288,3.10363
GSM3439923,4412,28857,12143,1.99000,2.85425,2.43283,2.85425
GSM3439925,10786,22441,2435,1.42000,3.69963,2.65743,3.69963
GSM3439926,6683,29152,11359,1.34000,3.45277,2.90306,3.45277
GSM3439927,7426,29149,10186,9.07000,5.88353,4.71238,5.88353
GSM3439987,7041,27415,9405,2.32000,2.69253,2.21856,2.69253
GSM3439988,2518,24059,11239,1.55379,2.97907,2.69307,2.97907
GSM3439989,6471,26724,9035,3.76000,2.77072,2.19369,2.77072
GSM3509837,757,13602,4907,9.87000,1.59168,1.47746,1.59168
GSM3509838,2614,26511,12215,0.31000,1.47630,1.24510,1.47630
GSM3509839,4507,27219,9752,0.48000,1.33366,0.99447,1.33366
GSM3509840,3057,26037,10614,0.43000,1.62498,1.37681,1.62498
GSM3516947,10132,29212,8720,0.40000,1.79226,1.31829,1.79226
GSM3516948,13930,29817,7760,0.43000,2.55765,1.88595,2.55764
GSM3526583,3101,24288,8802,0.63000,1.84609,1.52945,1.84608
GSM3526584,5273,25617,7154,0.37000,1.47152,0.99475,1.47152
GSM3526585,8802,24999,6316,1.31000,0.99981,0.37059,0.99981
GSM3526586,9260,27265,7056,2.15000,1.20401,0.65614,1.20401
GSM3526587,3798,31963,13117,3.33000,3.51758,2.95742,3.51758
GSM3526588,7558,32002,9743,1.49000,4.78740,3.67619,4.78740
GSM3526589,12633,33078,7970,2.40000,3.04256,2.29741,3.04256
GSM3526590,12589,36216,10305,1.60000,6.49692,4.88344,6.49691
GSM3529821,15247,27342,6799,1.82000,6.90845,5.07953,6.90845
GSM3535276,12849,29968,9274,1.00000,3.20972,2.56640,3.20972
GSM3535277,6345,27726,9716,1.12000,3.50033,2.94359,3.50033
GSM3535278,6062,26283,8658,0.41000,3.42319,2.89548,3.42319
GSM3535279,6394,27009,9104,1.03000,3.33929,2.79459,3.33929
GSM3535280,5700,27663,10438,0.57000,3.65514,3.02460,3.65514
GSM3535281,4064,25557,9636,0.47000,1.62361,1.37829,1.62361
GSM3557959,1506,13440,2981,0.96000,0.97683,0.85727,0.97683
GSM3557960,1626,17714,5373,2.36000,1.41882,1.33634,1.41882
GSM3557961,932,11829,2913,0.31000,0.78504,0.65347,0.78504
GSM3557962,1507,15611,3992,0.73000,1.41501,1.23068,1.41501
GSM3557963,1991,9685,998,2.92253,1.00482,0.62046,1.00482
GSM3557964,1833,15658,3219,0.77000,1.10618,0.82558,1.10618
GSM3557965,1312,15104,4528,0.68000,1.00322,0.85566,1.00322
GSM3557966,1958,7818,563,10.46227,1.19289,0.71001,1.19289
GSM3557967,813,11482,3512,2.01000,0.71174,0.57780,0.71174
GSM3557968,1989,10749,1144,3.09019,1.11763,0.80431,1.11763
GSM3557969,2417,16867,3412,0.18000,1.17397,0.86042,1.17397
GSM3557970,1440,17119,5704,0.89000,1.49744,1.32669,1.49744
GSM3557971,964,15243,5268,0.80000,1.10800,0.97465,1.10800
GSM3557972,1829,17577,3923,0.77000,1.01922,0.75917,1.01922
GSM3557973,798,12966,5435,2.56000,1.17857,1.11895,1.17857
GSM3558027,3599,16825,6138,0.77000,2.29091,1.93074,2.29091
GSM3576397,1348,8110,574,2.66000,1.71371,1.25679,1.71371
GSM3576398,10649,14027,186,3.29512,3.32328,1.49457,3.32328
GSM3576399,3843,13000,428,3.21000,3.53180,2.14206,3.53180
GSM3576400,11916,14305,149,1.50000,3.05142,1.45322,3.05142
GSM3576401,3379,12797,625,3.47000,4.60775,2.61760,4.60775
GSM3576402,3245,12051,411,2.94000,3.43851,2.43841,3.43851
GSM3576403,7080,15311,392,4.77000,3.43078,2.16860,3.43078
GSM3576404,3751,9983,295,3.53000,4.15845,2.27486,4.15845
GSM3576405,5385,13081,315,3.75000,4.10512,2.11877,4.10512
GSM3576406,1653,13201,824,2.60000,1.32081,1.11410,1.32081
GSM3576407,1341,11427,735,2.57000,1.24116,1.05197,1.24116
GSM3576408,11255,20408,582,2.99000,4.08249,1.88747,4.08249
GSM3576409,2272,11310,620,4.37000,2.12807,1.30065,2.12807
GSM3576410,7901,17715,613,2.46379,4.26377,1.89380,4.26377
GSM3576411,1925,12488,748,2.44000,0.91308,0.32616,0.91308
GSM3576412,12880,20315,574,2.62000,3.13847,2.06853,3.13847
GSM3576413,9210,15314,241,2.95000,1.95977,0.68591,1.95977
GSM3576414,9797,15323,245,2.33000,1.78567,0.63803,1.78567
GSM3576415,8802,18978,495,3.17504,1.89062,0.89735,1.89062
GSM3576416,6886,14394,253,1.87647,1.78959,0.62228,1.78959
GSM3576417,5143,11084,210,2.91000,1.43358,0.42537,1.43358
GSM3576420,3341,19942,1508,2.83000,1.10136,0.61916,1.10136
GSM3576421,1322,11808,757,2.28000,0.86207,0.50562,0.86207
GSM3576422,8784,20300,634,2.52000,4.03750,2.60132,4.03750
GSM3576423,918,10311,1592,3.30000,1.02954,0.97612,1.02954
GSM3576424,939,10761,1566,4.14000,1.37104,1.29863,1.37104
GSM3576425,3009,14413,758,2.72876,1.72436,1.19118,1.72436
GSM3576426,1919,12797,568,4.29000,2.12204,1.84006,2.12204
GSM3576427,1479,13708,1045,2.43000,0.89924,0.54648,0.89924
GSM3576429,10514,18627,460,3.05422,2.56923,1.30352,2.56923
GSM3576430,8976,17340,496,4.88000,3.70880,1.93832,3.70880
GSM3587008,5555,25721,8221,1.65000,5.14705,4.37246,5.14705
GSM3587009,12781,25996,5145,2.20000,3.94832,2.87908,3.94832
GSM3587010,5604,24846,8056,1.77000,4.49754,3.86179,4.49754
GSM3587011,8903,26883,7128,1.73000,6.26343,4.95591,6.26343
GSM3587013,6749,23872,4530,0.93000,3.64853,3.00852,3.64853
GSM3665016,2612,22258,6942,0.59000,3.63849,3.41490,3.63849
GSM3665017,2028,22311,8463,0.17000,3.46682,3.26451,3.46682
GSM3665018,2122,22152,7837,0.11000,2.51510,2.37390,2.51510
GSM3665019,3189,22526,6374,0.44000,2.65047,2.48007,2.65047
GSM3667327,6435,24070,4201,6.00000,6.30505,4.52678,6.30505
GSM3667328,16108,27755,3960,4.69000,10.05515,6.29554,10.05515
GSM3667329,8474,26976,6089,5.45000,7.28915,5.24562,7.28915
GSM3711757,16613,26935,5319,0.58939,2.47921,1.80433,2.47921
GSM3711758,10985,21701,2337,2.52464,2.05780,1.37216,2.05780
GSM3711759,2006,22789,10180,5.44212,2.14539,1.82404,2.14539
GSM3711760,10809,22980,2173,1.14077,2.02958,1.24132,2.02958
GSM3711761,1076,16941,5845,2.33323,2.41476,2.18751,2.41476
GSM3711763,7021,24707,7529,1.25000,4.91436,3.69404,4.91435
GSM3711764,45998,17223,159,3.18000,2.53967,0.10427,2.53967
GSM3711765,1731,19740,7815,1.27000,2.29681,2.00008,2.29681
GSM3711766,1179,13441,3423,11.81607,1.99375,1.78602,1.99375
GSM3711767,3482,23061,8183,2.02000,3.36878,2.65291,3.36878
GSM3711768,5203,19183,2801,1.22000,2.59294,1.89957,2.59294
GSM3711769,1645,15848,4281,8.68000,1.78573,1.52776,1.78573
GSM3711770,408,11291,4659,0.83000,1.36101,1.36853,1.36101
GSM3711771,2742,20583,6805,2.17000,2.92463,2.28753,2.92463
GSM3711772,1254,15922,3892,1.98000,2.25678,2.16399,2.25678
GSM3711773,14917,26226,4786,1.51000,3.87835,2.60164,3.87835
GSM3711774,3167,21409,6328,0.32000,3.19877,2.63543,3.19877
GSM3711775,1911,21543,9039,2.71000,3.06309,2.59903,3.06309
GSM3711776,1072,18370,7261,0.78000,2.09649,1.97529,2.09649
GSM3711777,2133,20470,7284,1.00000,2.83714,2.42303,2.83714
GSM3711778,473,9351,3027,2.03000,1.26446,1.26437,1.26446
GSM3711779,4077,19283,3520,0.87000,2.34888,1.75160,2.34888
GSM3711780,11752,21439,1272,6.79000,1.39156,0.42431,1.39156
GSM3711781,2288,19729,7171,9.08000,2.29282,1.90301,2.29282
GSM3711782,2127,19418,5772,0.94000,2.31208,2.05409,2.31208
GSM3711783,1404,19175,7804,0.54000,1.51860,1.41948,1.51860
GSM3711784,1215,17549,6498,0.53000,1.84631,1.73973,1.84631
GSM3711785,292,12797,8446,0.46000,0.82802,0.82043,0.82802
GSM3711786,5235,21987,5582,0.23000,3.60815,2.90606,3.60815
GSM3711787,3164,22324,8718,0.27000,2.33707,2.04970,2.33707
GSM3717979,12211,24800,5611,0.41000,2.45870,1.76947,2.45870
GSM3723357,680,19647,10337,1.99000,2.29106,2.12216,2.29106
GSM3723358,8534,25796,8001,1.05779,4.55581,3.40801,4.55581
GSM3723359,15506,27944,6218,0.54000,6.37432,4.26913,6.37432
GSM3731527,70199,27901,1291,19.03409,7.36534,2.59282,7.36534
GSM3732362,2576,16929,2274,0.12000,1.92130,1.72799,1.92130
GSM3732364,9548,24003,3237,1.73000,4.12877,3.81222,4.12877
GSM3732366,3121,20217,5919,0.14602,2.39475,2.18631,2.39475
GSM3732871,8603,23656,3719,3.49000,2.87001,2.26273,2.87001
GSM3734178,5055,21710,5310,0.21000,4.22816,3.59146,4.22816
GSM3734179,4291,21467,5919,0.22000,2.99344,2.59652,2.99344
GSM3734180,3670,21194,6725,0.26000,3.38104,2.96655,3.38104
GSM3734181,3480,20959,6256,0.20000,2.74243,2.39375,2.74243
GSM3734294,8175,27571,9035,0.98028,3.93831,3.32789,3.93831
GSM3734295,5932,25597,7424,1.44000,1.84923,1.54846,1.84923
GSM3734296,4933,24534,7494,0.47000,2.01268,1.60787,2.01268
GSM3734297,3743,22708,6870,0.49000,1.54417,1.19947,1.54417
GSM3735993,9240,25821,8717,1.77000,2.16315,1.59859,2.16315
GSM3735994,6561,27371,10923,0.37000,3.90382,3.04431,3.90382
GSM3738536,827,18344,7732,0.10000,0.58748,0.42393,0.58748
GSM3738537,853,18817,8171,0.12000,0.61518,0.46302,0.61518
GSM3738538,1294,21107,9675,0.10000,0.61097,0.38260,0.61097
GSM3738539,1497,21178,8855,0.21000,0.90730,0.79839,0.90729
GSM3738540,904,18304,7529,0.06000,0.61001,0.45555,0.61001
GSM3738541,1319,18215,5651,0.81000,0.90651,0.89829,0.90651
GSM3738542,1988,21571,8197,0.30205,0.91520,0.78800,0.91520
GSM3738543,3719,21117,4788,1.55000,1.03630,1.06407,1.03630
GSM3739217,7302,27951,9462,0.65000,4.87326,3.96950,4.87326
GSM3739218,81,9120,9120,2.71000,0.76581,0.76581,0.76581
GSM3739219,62,9084,9084,0.44000,0.50692,0.50692,0.50692
GSM3739220,198,9539,6849,2.29097,1.16861,1.20353,1.16861
GSM3745992,69,8066,8066,1.08000,0.65237,0.65237,0.65237
GSM3745993,563,7656,1760,5.94000,0.79881,0.52503,0.79881
GSM3745994,40,2617,2617,1.25000,0.79172,0.79172,0.79172
GSM3745995,66,7347,7347,1.69000,0.71076,0.71076,0.71076
GSM3745996,61,6841,6841,1.22000,0.72358,0.72358,0.72358
GSM3745997,130,6363,5176,1.41000,0.62460,0.61391,0.62460
GSM3755687,3171,23271,8517,0.86000,2.22299,1.84520,2.22299
GSM3755690,5673,24043,7998,0.95469,1.37987,0.96510,1.37987
GSM3755691,7998,24916,7776,0.47526,2.50601,1.91160,2.50601
GSM3755692,15775,26125,5834,0.74000,1.90605,1.22933,1.90605
GSM3755693,10423,27049,8622,0.68000,3.00515,2.28826,3.00515
GSM3755696,3000,24222,9043,2.59587,1.97484,1.57560,1.97484
GSM3755697,1622,20622,9884,0.60956,2.12828,1.89606,2.12828
GSM3755698,5802,26568,10624,1.76000,2.71768,2.09963,2.71768
GSM3755699,12723,25518,6780,1.04544,2.96798,2.24464,2.96798
GSM3758115,8509,23908,4942,1.62000,3.16451,2.26345,3.16451
GSM3758116,3867,21939,6111,5.14000,8.40152,6.71406,8.40152
GSM3758117,5881,22971,5637,0.99000,2.63684,2.01705,2.63684
GSM3758118,6192,22445,5037,0.91000,3.05637,2.22336,3.05637
GSM3758119,6397,22092,4458,0.71000,2.73124,2.10220,2.73124
GSM3770749,6028,26713,9932,0.36667,2.77396,2.32694,2.77396
GSM3770750,5929,26502,9936,0.37148,2.74288,2.30188,2.74288
GSM3773108,77,377,377,0.49000,0.37386,0.37386,0.37386
