ds,alpha,ncells,ngenes,ngenes_filt,sbar,raw,PF,sqrt,log1p,log1pCP10k,log1pCPM,scalelog1pCP10k,log1pPF,PFlogPF
ERS3861844,0.98000,3505,27405,11716,24232.207,35.03227,35.03227,4.09775,0.70844,1.26807,0.62809,0.43248,0.70844,0.18058
ERS3861845,0.98000,8181,29191,8873,5260.886,38.39435,38.39435,2.02432,0.89489,0.51508,0.56469,0.39534,0.89489,0.23385
ERS3861846,5.53000,8164,28012,8110,6967.319,55.08206,55.08206,6.86312,1.53766,1.21413,0.34676,0.36759,1.53766,0.07567
ERS3861847,14.85000,6809,27342,8754,6781.724,52.59347,52.59347,9.44451,1.87972,1.49192,0.16796,0.31273,1.87972,0.07738
ERS3861848,8.80000,6100,28479,9828,11386.526,27.99691,27.99691,5.78564,1.53853,1.65320,0.22571,0.40282,1.53853,0.08825
ERS3861849,1.16000,3985,27632,11754,17216.147,28.13782,28.13782,3.85292,0.79343,1.16285,0.59381,0.40834,0.79343,0.15857
ERS3861850,3.91000,5154,25531,10094,11469.525,31.91181,31.91181,4.88875,1.24757,1.35697,0.39409,0.39848,1.24757,0.07518
ERS4228628,0.88892,1000,18524,8776,3781.191,25.22326,25.22326,1.20703,0.87846,0.36611,0.54140,0.30026,0.87846,0.26249
ERS4228634,1.06000,6496,26986,8896,5599.389,23.55236,23.55236,1.83436,0.87351,0.53718,0.58954,0.37652,0.87351,0.20322
ERS4228635,1.07000,7247,26474,8288,4667.425,24.26484,24.26484,1.68217,0.89572,0.46296,0.57419,0.39156,0.89572,0.20576
ERS4228636,0.96808,4000,25206,9694,6716.364,20.22884,20.22884,2.00502,0.82245,0.59393,0.60101,0.23505,0.82245,0.21750
ERS4228637,1.11000,4822,25171,8899,5591.311,19.65047,19.65047,2.01987,0.90189,0.55378,0.57385,0.30731,0.90189,0.19823
ERS4228638,1.23000,5289,26519,9422,6408.114,20.49604,20.49604,2.27344,0.91444,0.63640,0.57508,0.28519,0.91444,0.17376
