ds,alpha,ncells,ngenes,ngenes_filt,sbar,raw,PF,sqrt,log1p,log1pCP10k,log1pCPM,scalelog1pCP10k,log1pPF,PFlogPF
GSM3667327,6.00000,6435,24070,4201,1865.731,28.86084,28.86084,3.61980,2.01322,0.49906,0.33599,0.31788,2.01322,0.06380
GSM3667328,4.69000,16108,27755,3960,2050.182,29.26746,29.26746,4.22197,1.89630,0.48667,0.37117,0.35886,1.89630,0.05936
GSM3667329,5.45000,8474,26976,6089,3485.270,30.69693,30.69693,4.68816,1.88586,0.83921,0.34769,0.25177,1.88586,0.06477
GSM3711757,0.58939,16613,26935,5319,2481.169,32.51585,32.51585,1.09558,0.84237,0.21740,0.52604,0.37713,0.84237,0.38609
GSM3711758,2.52464,10985,21701,2337,1170.923,24.01633,24.01633,2.98756,1.50624,0.12432,0.45836,0.48975,1.50624,0.08702
GSM3711759,5.44212,2006,22789,10180,7008.276,44.87514,44.87514,5.73660,1.62052,1.27258,0.33981,0.35524,1.62052,0.07150
GSM3711760,1.14077,10809,22980,2173,1185.692,14.59338,14.59338,1.26709,1.18576,0.12980,0.52044,0.49470,1.18576,0.23044
GSM3711761,2.33323,1076,16941,5845,3194.360,37.38225,37.38225,3.18214,1.48303,0.52596,0.45622,0.38495,1.48303,0.09539
GSM3711763,1.25000,7021,24707,7529,4872.438,22.81803,22.81803,2.46292,1.09143,0.57237,0.52081,0.32979,1.09143,0.19493
GSM3711764,3.18000,45998,17223,159,69.870,5.79413,5.79413,0.71940,1.04696,0.39672,0.46910,0.90695,1.04696,0.05245
GSM3711765,1.27000,1731,19740,7815,4615.355,37.16616,37.16616,2.44990,1.08711,0.54153,0.52104,0.35388,1.08711,0.19015
GSM3711766,11.81607,1179,13441,3423,1613.771,19.96531,19.96531,3.72030,2.15206,0.59356,0.25189,0.35983,2.15206,0.07795
GSM3711767,2.02000,3482,23061,8183,5691.360,24.91932,24.91932,3.34983,1.31431,0.82095,0.47632,0.27584,1.31431,0.10909
GSM3711768,1.22000,5203,19183,2801,1407.146,14.40030,14.40030,1.34642,1.17873,0.12698,0.51438,0.46282,1.17873,0.21298
GSM3711769,8.68000,1645,15848,4281,2065.320,26.94314,26.94314,4.00263,2.03963,0.65071,0.29347,0.26659,2.03963,0.07638
GSM3711770,0.83000,408,11291,4659,2414.529,37.87748,37.87748,1.78895,0.98459,0.22544,0.50859,0.41931,0.98459,0.29563
GSM3711771,2.17000,2742,20583,6805,4471.183,20.71669,20.71669,3.21631,1.36880,0.68503,0.47053,0.27550,1.36880,0.10004
GSM3711772,1.98000,1254,15922,3892,2117.620,23.07267,23.07267,3.18866,1.49117,0.29435,0.44884,0.37665,1.49117,0.12239
GSM3711773,1.51000,14917,26226,4786,2693.778,21.68200,21.68200,2.15024,1.26307,0.34250,0.49639,0.39862,1.26307,0.16542
GSM3711774,0.32000,3167,21409,6328,3711.246,41.05279,41.05279,1.06442,0.66629,0.29629,0.53840,0.36553,0.66629,0.54972
GSM3711775,2.71000,1911,21543,9039,6283.790,41.70895,41.70895,4.69963,1.44628,0.99391,0.43351,0.33016,1.44628,0.07588
GSM3711776,0.78000,1072,18370,7261,3601.549,43.36299,43.36299,1.71336,0.90815,0.34688,0.51225,0.33917,0.90815,0.30516
GSM3711777,1.00000,2133,20470,7284,4211.892,42.39693,42.39693,2.28291,1.00333,0.44904,0.52446,0.33066,1.00333,0.24471
GSM3711778,2.03000,473,9351,3027,1405.178,24.65027,24.65027,2.21015,1.46689,0.15556,0.46850,0.52308,1.46689,0.12080
GSM3711779,0.87000,4077,19283,3520,1910.771,23.92511,23.92511,1.63601,1.02740,0.17526,0.51758,0.42371,1.02740,0.29307
GSM3711780,6.79000,11752,21439,1272,737.655,20.81224,20.81224,3.09367,1.95086,0.13865,0.34876,0.41614,1.95086,0.07575
GSM3711781,9.08000,2288,19729,7171,4769.119,48.43102,48.43102,6.12990,1.89518,1.18191,0.26718,0.37119,1.89518,0.08047
GSM3711782,0.94000,2127,19418,5772,3051.344,44.46850,44.46850,2.09565,1.03147,0.31318,0.50181,0.34236,1.03147,0.26511
GSM3711783,0.54000,1404,19175,7804,4282.552,44.48341,44.48341,1.31893,0.76941,0.36252,0.56033,0.30756,0.76941,0.39094
GSM3711784,0.53000,1215,17549,6498,3460.477,43.72817,43.72817,1.41109,0.78706,0.29864,0.52992,0.38176,0.78706,0.40359
GSM3711785,0.46000,292,12797,8446,5043.791,55.70498,55.70498,1.57415,0.71157,0.40035,0.58685,0.37418,0.71157,0.42795
GSM3711786,0.23000,5235,21987,5582,3205.832,32.32439,32.32439,0.67529,0.62851,0.26074,0.56029,0.38297,0.62851,0.66748
GSM3711787,0.27000,3164,22324,8718,6125.182,40.67898,40.67898,0.94609,0.61381,0.42397,0.61668,0.28517,0.61381,0.58016
GSM3717979,0.41000,12211,24800,5611,3038.866,23.29718,23.29718,0.82628,0.69706,0.24595,0.60603,0.37974,0.69706,0.46727
GSM3723357,1.99000,680,19647,10337,6688.385,50.96651,50.96651,3.93834,1.22996,0.88776,0.48313,0.41763,1.22996,0.11025
GSM3723358,1.05779,8534,25796,8001,4805.826,28.37366,28.37366,1.98583,0.99601,0.51796,0.54323,0.36000,0.99601,0.22604
GSM3723359,0.54000,15506,27944,6218,3756.229,25.53104,25.53104,1.19470,0.76867,0.31818,0.58836,0.36715,0.76867,0.39184
GSM3731527,19.03409,70199,27901,1291,610.113,6.89110,6.89110,2.30843,2.23067,0.26488,0.19338,0.47825,2.23067,0.07111
GSM3732362,0.12000,2576,16929,2274,1200.617,15.94217,15.94217,0.24100,0.59915,0.21859,0.51886,0.46815,0.59915,1.05057
GSM3732364,1.73000,9548,24003,3237,1283.116,35.46342,35.46342,1.99053,1.40851,0.11860,0.43760,0.44853,1.40851,0.14489
GSM3732366,0.14602,3121,20217,5919,3275.241,32.98199,32.98199,0.46571,0.56163,0.25681,0.55641,0.35828,0.56163,0.79426
GSM3732871,3.49000,8603,23656,3719,1424.298,15.67182,15.67182,1.82899,1.66656,0.24448,0.41323,0.39277,1.66656,0.05928
GSM3734178,0.21000,5055,21710,5310,3072.913,28.12046,28.12046,0.63763,0.61000,0.25167,0.53147,0.32837,0.61000,0.69353
GSM3734179,0.22000,4291,21467,5919,3100.249,32.25096,32.25096,0.62123,0.60937,0.25105,0.53361,0.33445,0.60937,0.66883
GSM3734180,0.26000,3670,21194,6725,3694.602,28.02075,28.02075,0.72901,0.61536,0.28620,0.55455,0.31727,0.61536,0.59802
GSM3734181,0.20000,3480,20959,6256,3487.655,28.53696,28.53696,0.60751,0.58938,0.27181,0.54750,0.31996,0.58938,0.68787
GSM3734294,0.98028,8175,27571,9035,4574.408,58.36003,58.36003,2.15784,0.91337,0.46192,0.54751,0.30097,0.91337,0.23991
GSM3734295,1.44000,5932,25597,7424,4201.349,67.10198,67.10198,3.55410,1.10527,0.51899,0.52852,0.31595,1.10527,0.16537
GSM3734296,0.47000,4933,24534,7494,3636.337,47.93979,47.93979,1.00964,0.70610,0.29485,0.58887,0.32460,0.70610,0.42137
GSM3734297,0.49000,3743,22708,6870,3063.978,41.27133,41.27133,0.88702,0.72689,0.25188,0.56887,0.39441,0.72689,0.41499
GSM3735993,1.77000,9240,25821,8717,7671.251,24.52761,24.52761,3.22400,1.07111,0.87872,0.54526,0.26172,1.07111,0.11482
GSM3735994,0.37000,6561,27371,10923,20308.774,45.97390,45.97390,2.80490,0.54592,0.91806,0.70863,0.13263,0.54592,0.39715
GSM3738536,0.10000,827,18344,7732,4223.469,57.21759,57.21759,0.45483,0.54537,0.30784,0.57837,0.31636,0.54537,0.93685
GSM3738537,0.12000,853,18817,8171,4347.875,54.96619,54.96619,0.47857,0.55059,0.31543,0.58313,0.31505,0.55059,0.85568
GSM3738538,0.10000,1294,21107,9675,5298.973,58.98465,58.98465,0.43352,0.52630,0.35000,0.62065,0.31487,0.52630,0.88381
GSM3738539,0.21000,1497,21178,8855,4689.933,65.20096,65.20096,0.86592,0.57768,0.33571,0.58885,0.32405,0.57768,0.64841
GSM3738540,0.06000,904,18304,7529,3703.881,49.10771,49.10771,0.23514,0.52954,0.27633,0.57956,0.33083,0.52954,1.17570
GSM3738541,0.81000,1319,18215,5651,2419.150,57.41884,57.41884,1.88771,0.92391,0.22428,0.50915,0.40279,0.92391,0.29882
GSM3738542,0.30205,1988,21571,8197,3887.002,61.54712,61.54712,1.01266,0.62443,0.29828,0.57683,0.33651,0.62443,0.54463
GSM3738543,1.55000,3719,21117,4788,1897.864,51.92442,51.92442,2.56829,1.23941,0.21040,0.46884,0.41280,1.23941,0.16214
GSM3739217,0.65000,7302,27951,9462,6996.299,15.92350,15.92350,1.77098,0.73814,0.55457,0.61369,0.26955,0.73814,0.31909
GSM3739218,2.71000,81,9120,9120,6935.037,19.47586,19.47586,3.39581,1.13817,0.86684,0.44531,0.52264,1.13817,0.06494
GSM3739219,0.44000,62,9084,9084,7957.016,25.16262,25.16262,1.59990,0.52104,0.42709,0.59455,0.38982,0.52104,0.30831
GSM3739220,2.29097,198,9539,6849,2837.177,20.00577,20.00577,2.34238,1.34377,0.42919,0.46478,0.66244,1.34377,0.09766
GSM3745992,1.08000,69,8066,8066,9678.261,34.35791,34.35791,8.97860,0.75543,0.73552,0.50395,0.84034,0.75543,0.13752
GSM3745993,5.94000,563,7656,1760,1207.679,24.11221,24.11221,8.50025,2.01310,0.28133,0.32656,0.79266,2.01310,0.05560
GSM3745994,1.25000,40,2617,2617,12187.400,33.26878,33.26878,13.93914,0.59445,0.70554,0.42188,0.71789,0.59445,0.06264
GSM3745995,1.69000,66,7347,7347,4520.364,39.18166,39.18166,4.47665,0.97378,0.47541,0.44510,0.63137,0.97378,0.08294
GSM3745996,1.22000,61,6841,6841,5144.852,29.51620,29.51620,3.99238,0.84371,0.45246,0.47832,0.60384,0.84371,0.11656
GSM3745997,1.41000,130,6363,5176,2076.823,33.08215,33.08215,3.10980,1.13417,0.22363,0.46396,0.84329,1.13417,0.17590
GSM3755687,0.86000,3171,23271,8517,6052.618,34.51314,34.51314,2.35120,0.87867,0.57226,0.57869,0.54072,0.87867,0.26801
GSM3755690,0.95469,5673,24043,7998,4917.300,31.48391,31.48391,2.25485,0.94335,0.49686,0.53232,0.31290,0.94335,0.24687
GSM3755691,0.47526,7998,24916,7776,5298.960,30.87267,30.87267,1.50114,0.69595,0.41190,0.61738,0.31960,0.69595,0.40922
GSM3755692,0.74000,15775,26125,5834,3046.968,32.79452,32.79452,1.78822,0.86981,0.27727,0.54033,0.39941,0.86981,0.31143
GSM3755693,0.68000,10423,27049,8622,5214.714,36.13405,36.13405,1.82261,0.81348,0.46199,0.56817,0.29152,0.81348,0.32572
GSM3755696,2.59587,3000,24222,9043,4985.083,40.48623,40.48623,3.61372,1.34748,0.76838,0.45446,0.55011,1.34748,0.07742
GSM3755697,0.60956,1622,20622,9884,7862.573,32.29684,32.29684,2.09094,0.72394,0.59634,0.61192,0.33676,0.72394,0.33118
GSM3755698,1.76000,5802,26568,10624,9409.825,30.15149,30.15149,4.02657,1.06494,1.01703,0.52173,0.49363,1.06494,0.11755
GSM3755699,1.04544,12723,25518,6780,3682.345,31.40747,31.40747,2.06710,0.98245,0.38699,0.53552,0.33166,0.98245,0.23022
GSM3758115,1.62000,8509,23908,4942,2159.415,35.64485,35.64485,1.97460,1.29813,0.26134,0.47005,0.36755,1.29813,0.15206
GSM3758116,5.14000,3867,21939,6111,3021.176,41.82694,41.82694,5.02688,1.84827,0.71523,0.35566,0.26242,1.84827,0.06146
GSM3758117,0.99000,5881,22971,5637,2541.840,34.68028,34.68028,1.46162,1.00929,0.25245,0.51894,0.36977,1.00929,0.25033
GSM3758118,0.91000,6192,22445,5037,2279.514,26.85803,26.85803,1.23721,0.99151,0.21255,0.52126,0.43334,0.99151,0.27024
GSM3758119,0.71000,6397,22092,4458,1849.446,25.59751,25.59751,0.90087,0.89431,0.16069,0.52733,0.43949,0.89431,0.33524
GSM3770749,0.36667,6028,26713,9932,3847.223,76.90141,76.90141,1.02904,0.62807,0.29491,0.57079,0.33441,0.62807,0.47488
GSM3770750,0.37148,5929,26502,9936,3921.610,77.44593,77.44593,1.09185,0.62976,0.30036,0.57234,0.32859,0.62976,0.47100
GSM3773108,0.49000,77,377,377,142.351,10.85599,10.85599,0.64720,0.70222,0.44638,0.52939,0.72652,0.70222,0.38840
GSM3773111,0.57000,79,335,335,139.506,10.94915,10.94915,0.84027,0.74119,0.42975,0.50771,0.69931,0.74119,0.33750
GSM3773112,0.73000,79,298,298,139.177,11.06613,11.06613,1.35587,0.83858,0.43181,0.51217,0.70697,0.83858,0.29376
GSM3773114,0.61000,62,264,264,164.355,12.46081,12.46081,1.52438,0.70715,0.44327,0.52209,0.69839,0.70715,0.28382
GSM3773116,0.32000,84,331,331,150.940,13.84443,13.84443,0.77601,0.66179,0.44236,0.53322,0.71092,0.66179,0.54058
GSM3773117,0.63000,71,323,323,157.197,11.22095,11.22095,1.11871,0.75144,0.41888,0.50122,0.68217,0.75144,0.29381
GSM3773119,0.52000,76,310,310,138.789,12.53571,12.53571,0.87090,0.73950,0.46249,0.54082,0.73459,0.73950,0.37830
GSM3773121,0.43000,30,208,208,212.833,8.86825,8.86825,0.99687,0.34584,0.45142,0.50822,0.69575,0.34584,0.16747
GSM3773124,0.44378,66,356,356,139.742,10.02895,10.02895,0.54039,0.65435,0.43433,0.50004,0.67992,0.65435,0.38256
GSM3773125,0.64884,83,367,367,148.458,13.60864,13.60864,0.95155,0.83439,0.43494,0.52148,0.70547,0.83439,0.33026
GSM3954946,2.11000,3505,18754,4395,2417.483,35.81240,35.81240,3.23506,1.36455,0.35701,0.48716,0.35812,1.36455,0.10725
GSM3954947,31.86000,2158,19140,6316,4171.395,36.69837,36.69837,7.94805,2.14794,1.30061,0.09354,0.36951,2.14794,0.05605
GSM3954948,29.69000,3151,18781,5044,2891.128,18.53589,18.53589,5.31430,2.31785,1.08996,0.11376,0.30466,2.31785,0.05768
GSM3954949,19.60000,5630,21658,3967,2019.466,22.45161,22.45161,5.74370,2.45254,0.83373,0.16961,0.20362,2.45254,0.06764
GSM3954950,24.28000,5289,15813,1937,1052.392,13.81088,13.81088,3.69101,2.33310,0.50969,0.15729,0.23073,2.33310,0.06403
GSM3954952,7.21000,5523,22242,3958,2429.640,20.57716,20.57716,5.20454,2.04797,0.71117,0.31708,0.27332,2.04797,0.07252
GSM3954953,34.84000,3125,21503,5717,3335.690,24.66899,24.66899,5.73689,2.49693,1.26727,0.09096,0.34576,2.49693,0.05204
GSM3954954,21.58000,4409,23502,7857,7889.178,47.15193,47.15193,9.70289,1.89745,1.67119,0.10486,0.48838,1.89745,0.06959
GSM3954955,11.09000,5101,23951,7565,7061.377,26.96965,26.96965,7.24079,1.87676,1.52316,0.21569,0.37988,1.87676,0.08253
GSM3954956,1.04000,3839,22105,7462,5308.274,32.57942,32.57942,3.06815,0.97201,0.55855,0.55152,0.32451,0.97201,0.22658
GSM3954957,6.46000,6377,22876,6157,4837.778,30.43684,30.43684,6.87819,1.72741,1.07545,0.33162,0.21404,1.72741,0.07713
GSM3954958,1.31000,5067,23873,8749,8087.284,30.43217,30.43217,3.92464,1.01598,0.85797,0.55326,0.25924,1.01598,0.17154
GSM4037301,3.77143,5535,23575,1671,914.646,26.96829,26.96829,6.53511,1.82402,0.10529,0.37050,0.42610,1.82402,0.05380
GSM4037302,1.81588,3994,22554,1743,824.481,26.99773,26.99773,3.98855,1.32354,0.09039,0.42154,0.44989,1.32354,0.13670
GSM4037305,1.00355,4801,21819,1762,990.354,23.25179,23.25179,2.47026,1.06963,0.13114,0.48507,0.46573,1.06963,0.26055
GSM4037306,1.70566,3158,17822,1703,881.576,22.30108,22.30108,3.24534,1.32225,0.09907,0.45913,0.46125,1.32225,0.14954
GSM4037309,3.07621,1998,19557,6606,2041.879,46.79901,46.79901,3.19535,1.46748,0.33458,0.39546,0.36523,1.46748,0.06171
GSM4037313,1.69993,2305,19012,2215,958.661,29.95529,29.95529,3.36411,1.30830,0.08697,0.42840,0.42337,1.30830,0.14733
GSM4037316,2.31369,982,17951,4001,2067.811,46.41453,46.41453,8.58891,1.40391,0.30353,0.42249,0.28998,1.40391,0.09734
GSM4037323,1.12515,7290,10806,163,108.045,5.08085,5.08085,0.88574,1.09264,0.48806,0.57200,0.83232,1.09264,0.23363
GSM4037324,10.14000,11939,23995,5015,2176.150,45.24034,45.24034,5.72961,2.12408,0.69854,0.25919,0.22186,2.12408,0.07401
GSM4037325,1.56000,4297,27696,10552,5412.915,41.10297,41.10297,2.65376,1.02764,0.61927,0.52372,0.33672,1.02764,0.13887
GSM4037981,2.93000,857,21817,12406,7998.194,78.21606,78.21606,9.00986,1.30644,1.10246,0.42285,0.28104,1.30644,0.06667
GSM4037982,4.41000,737,22238,13617,11162.536,72.13972,72.13972,9.43288,1.41228,1.52011,0.34999,0.42387,1.41228,0.06830
GSM4037984,3.09000,53,4994,4994,4476.453,41.32409,41.32409,5.57451,1.12225,0.57483,0.35167,0.64919,1.12225,0.06684
GSM4037985,20.80203,196,4422,2979,986.832,30.69747,30.69747,5.21710,2.31130,0.46364,0.17390,1.20449,2.31130,0.06636
GSM4037986,10.78000,74,3013,3013,2019.041,44.04563,44.04563,8.66301,1.70107,0.53291,0.20924,0.92941,1.70107,0.07176
GSM4037987,5.14000,166,8977,6752,3469.982,69.40730,69.40730,11.32852,1.73572,0.76306,0.34603,0.73799,1.73572,0.06014
GSM4037988,11.53000,321,8644,3992,1477.611,31.46190,31.46190,4.12130,2.15119,0.51223,0.24267,1.05643,2.15119,0.07319
GSM4037989,52.36000,1914,7100,407,185.010,13.07167,13.07167,3.39486,2.27422,0.08771,0.09044,0.60873,2.27422,0.04026
GSM4037990,134.17000,2352,7976,453,203.048,10.11948,10.11948,2.78602,2.38781,0.15620,0.03778,0.60417,2.38781,0.01898
GSM4037991,6.79000,175,6363,5045,1985.046,48.16623,48.16623,6.21345,1.93189,0.53603,0.32173,1.11866,1.93189,0.06610
GSM4037992,5.90000,162,5352,3862,1524.938,35.94437,35.94437,4.76406,1.90033,0.36534,0.32616,1.03920,1.90033,0.06211
GSM4037993,1.19212,60,5590,5590,3963.633,50.17576,50.17576,4.73931,0.80431,0.31132,0.47162,0.70732,0.80431,0.11036
GSM4037994,4.23994,77,7761,7761,5299.545,46.02536,46.02536,5.92294,1.37007,0.85737,0.35366,0.56743,1.37007,0.06796
GSM4080085,2.59000,12351,28728,9772,8695.477,24.69318,24.69318,4.11619,1.26732,1.14967,0.47478,0.26415,1.26732,0.08006
GSM4080086,1.72000,8983,29821,11411,8627.390,29.98881,29.98881,3.43614,1.08457,0.96828,0.51896,0.31383,1.08457,0.12523
GSM4080087,2.32000,7041,27415,9405,5643.487,38.15667,38.15667,3.76919,1.29850,0.81094,0.46206,0.34579,1.29850,0.08876
GSM4080088,1.55000,2515,25736,11554,9985.410,57.43627,57.43627,4.84113,1.01478,1.01366,0.53676,0.32094,1.01478,0.14037
GSM4080089,3.76000,6471,26724,9035,5907.737,58.63663,58.63663,5.41753,1.43810,0.98192,0.41579,0.40687,1.43810,0.06330
GSM4080090,1.64000,3826,27042,11587,10441.241,65.26869,65.26869,4.86851,1.01379,1.04675,0.53505,0.32551,1.01379,0.12654
GSM4142870,0.69735,4943,23013,9040,10033.658,34.87574,34.87574,2.59335,0.69050,0.69227,0.69692,0.20079,0.69050,0.27213
GSM4142871,3.09000,163,15742,13361,9864.693,42.13305,42.13305,5.90765,1.18327,1.17204,0.42093,0.41247,1.18327,0.06435
GSM4142872,0.89011,2945,1615,216,139.816,5.63338,5.63338,0.74486,0.76225,0.61479,0.76380,1.24349,0.76225,0.23009
GSM4142873,11.52000,151,13770,11886,9166.636,39.31782,39.31782,8.53097,1.71168,1.62058,0.18432,0.45986,1.71168,0.07988
