gene	logCP10K_Seq-Well_PC1_loading	logCP10K_10x_v3_PC1_loading	logPF, estimated K_Seq-Well_PC1_loading	logPF, estimated K_10x_v3_PC1_loading	PFlog_Seq-Well_PC1_loading	PFlog_10x_v3_PC1_loading
DNPH1	0.012397473436608759	-0.006160840933839715	0.012471790866159502	0.015575273705704247	-0.012693516996955728	-0.020315696213658932
DNTTIP2	0.015871228144850286	0.011775265077664137	0.016591484459599834	0.014188692230843954	0.03282028380719738	0.006660677701416924
DOCK11	0.008742617720843778	0.015160867476306078	0.008955414105394171	0.012998394272477978	0.017497359238468284	0.020743390568562628
DOCK2	0.007819367909372349	0.019118625507732943	0.008130040801870287	0.008669488488879629	0.016497023296029277	0.028910414792211837
DOCK8	0.012599958684157229	0.028210990670765303	0.013090524528395292	0.01442058304105278	0.026423298939144833	0.036656410638473656
DOK2	0.003924215485675139	0.02187975505418875	0.004128268230843854	0.008063646034610955	0.01261855151618396	0.03283088816078471
DPM3	0.010722708444439507	0.0005475167093827507	0.010792392409282744	0.01813200302702365	0.0005337340333472948	-0.008390651461918495
DPP7	0.006536323161193777	0.006422916660564897	0.006588317211878393	0.020813788584809666	-0.0002104535797281552	-0.001234735540193295
DPY30	0.014759029475640862	-0.003206779995575246	0.014959779153772402	0.019082137500484667	-0.00954219010567789	-0.014967282382768782
DPYD	0.00850641264269765	0.012412337518922407	0.00909458750790203	0.01220349060871297	0.012404878691160286	0.011820464472894976
DPYSL2	0.008902163295615008	0.01832912697911369	0.009023563760741933	0.024067382940830297	0.008457289029729325	0.011395224962042646
DRAM1	0.03769759127215224	-0.013397205511339168	0.03721999368019927	0.014551241551555776	-0.030148391459892822	-0.020679114081506814
DRAM2	0.0037541627422882275	0.010813772682763212	0.003891536678754511	0.018555737148292093	0.006936549852253453	0.007859119433623517
DRAP1	0.008713518536515192	0.01845269405382509	0.008754339779191964	0.011849730962543966	0.0073610332621819536	0.023017016762352946
DRC3	-0.001664363398728618	-0.014016972910212684	-0.0014818683822673704	0.005186933624424033	-0.004517956600533934	-0.024267863968793994
DSE	0.019110638176455013	0.020962697998241596	0.019107447190591625	0.014786476088390583	0.023084485835481457	0.023226859524582616
DSP	0.0025426492543256787	-0.012477557670396017	0.0028053433709744344	0.008778035026409024	-0.012695399489788784	-0.027428103610460067
DST	0.017577359575053544	0.014292951563555516	0.017699315431624715	0.01837124787129668	0.025541236402318354	0.012681410023990447
DSTN	0.051068381686928364	-0.03455101857497254	0.05117573442815232	0.02900990813510647	-0.07314793454025893	-0.04859695813735037
DTHD1	0.0016261233177640288	-0.015965495851100707	0.0021484793129593295	0.0014309322981761055	-0.008777108909940712	-0.023946883988668774
DUSP1	0.04045724114920215	0.03649142878697003	0.04019222737743681	0.03453837330781322	0.0008210433227395611	0.008442936340759911
DUSP2	-0.0010222354406115878	0.009493662458706928	-0.00042005906668422235	-0.0023722538225537746	0.028373995827017655	0.013922298786440782
DUSP23	0.006139342350517311	0.00486123236345112	0.006217810413910332	0.016694407963443347	-0.0003895801477591574	-0.002163685246216592
DUSP5	0.0006899569360054162	0.001377805913567288	0.0007767479077315305	0.007678700810946858	0.00043657636895900846	-0.0038048255374531436
DUSP6	0.014555187480427813	0.0034751428425869673	0.01488112035857686	0.012755371209145768	-0.011678266786663553	-0.0021388256124848025
DUT	0.008175306718376494	0.007466441087274881	0.00843377462927998	0.02275080115391043	-0.005297159040352316	-0.0035856515086130276
DYNC1H1	0.011697325201408024	0.004060225890091155	0.012108209846264116	0.0184823215821941	0.0041663081205856635	-0.003807719528462005
DYNC1I2	0.016194557008529363	0.009763567836123227	0.016567998232312826	0.021786062319261914	0.0003259321833796256	0.0011517711150984167
DYNC1LI1	0.007109565738834166	0.008527422431083596	0.0071912232283617115	0.014893889077693958	0.0031283673806451343	0.006268919913673059
DYNC1LI2	0.013779241434339368	-0.003925696251025609	0.014070858885341115	0.01486432113087338	-0.008090569744975148	-0.014853535390490414
DYNC2H1	0.0016210710201773754	-0.015529509739565196	0.0025209488913030906	0.006564283117422982	-0.006343629250140691	-0.02758400361712035
DYNC2I1	0.00704852695707355	-0.017154271826627092	0.007507244751272223	0.006906504976059828	-0.004075214726101731	-0.028038313190185394
DYNLL1	0.017955583767647477	0.02103006237785604	0.018766246203114935	0.038684677308420554	-0.01555398567479222	-0.0011186072842073688
DYNLRB1	0.012524098537659862	0.0073502405291137034	0.012761126973451522	0.026958467348471148	0.002218967267846371	-0.00510302946110867
DYNLRB2	-0.0005397915878732413	-0.011280306034370134	-0.0002528162226364142	0.008211017599622332	-0.008675976378329594	-0.024074301892765503
DYNLT1	0.011553612680257038	0.0015669699035081195	0.011928099425657793	0.028421047988304565	-0.009811825712335475	-0.013133466714730764
DYNLT2B	0.00028433304921226415	-0.009978340760947793	0.0003864471792176757	0.00729921788826147	-0.005048123808023217	-0.02295210711718213
DZIP3	-0.0018172174109315415	-0.011694927848485583	-0.0011720228331385432	0.00623641961263591	-0.007483301464659993	-0.02138220311968158
EAPP	0.01126757032956723	0.00034260018487325427	0.011558338609743429	0.012359902316909121	-0.005285015677197635	-0.0038001448708364603
EBAG9	0.009471969192914476	-0.0030905308337397697	0.009645288688104572	0.01305373521085289	-0.006811702333598605	-0.012868121935516478
EBP	0.0006315827563766955	-0.006602816161589578	0.0006670485978861999	0.01176667776339917	0.0030117905524625764	-0.016668905199230446
ECH1	0.0013860198062146847	0.006372514529371775	0.001514169790869435	0.02522264462237685	0.0028256135474255773	-0.00480130230537006
ECHDC1	0.023161592063632764	0.002679552648940384	0.02324214815584277	0.02229467635671912	-0.0061843229744926375	-0.006972648243117974
ECHS1	0.009237111921384482	0.003924183846425906	0.009304192785155057	0.017831069891695896	-0.0061499128024548435	-0.0024029177747672153
ECI1	0.0032551578226394954	0.0008539079411209304	0.0032743837235852885	0.018415698275825947	-0.0026725329103578508	-0.008197171741850784
ECI2	-0.003252388592018013	-0.005749883670496958	-0.0029556838327909393	0.013003763720517647	-0.00911446894198815	-0.015651407747040665
EDF1	0.015386327292573245	0.0035107971948126707	0.015625493073087422	0.018742424628656273	-0.011203726992088965	-0.003372912500800915
EDN1	0.004714772948634906	-0.005688441116537423	0.004567045963199334	0.006979740137933014	-0.017714095245265137	-0.014081635844659194
EEA1	0.020936252011437104	0.009013438655468444	0.021166967078816212	0.017462251573241057	0.015148094710128042	0.005762769219740692
EEF1A1	0.037372240761770745	0.017567668680958586	0.037419366464713645	0.009110755088003089	0.0014097649360269157	0.0047734614810232175
EEF1D	0.024342160084649494	0.015511750309820983	0.024776669453312448	0.011118982362934727	-0.015133355728718398	0.011995441020868414
EEF2	0.03847551355989197	0.005977944823854842	0.03858254960983534	0.02457657982043029	-0.006750953736483437	-0.004040159099888672
EFCAB14	0.01523297322712901	0.0008102821466904255	0.015748456764718168	0.016820106478602177	2.786009997140335e-05	-0.008098948427528611
EFHC1	0.0029120972683601386	-0.013843790144162593	0.0030492430284002796	0.007397643926545931	-0.0038643645461678405	-0.02465878803573625
EFHD2	0.006176762046772063	0.031286043299941	0.006608813883291222	0.012993105929356078	0.01634119321321456	0.036208112324468494
EFNA1	0.017731014738677442	-0.021448228193927117	0.017558032449985567	0.012121159985374086	-0.02352156294616102	-0.042705770999468255
EFR3A	0.004512369263914849	0.0083144356849339	0.004775027212874956	0.016544517600551128	0.0009821126673460684	0.003948927586964454
EGR1	0.033035397585917885	-0.02921073996353928	0.03296446193324043	0.02051936611442127	-0.045465593805566716	-0.04523963263686762
EHD4	0.009753624283591115	0.002191464593533672	0.009944264245797765	0.018222048453101866	-0.005814563163099744	-0.007145751657862125
EHF	0.016052719075850652	-0.017664104113446138	0.016092814933912944	0.010982473202161886	-0.029345805569111486	-0.03826915554329997
EID1	0.022169870589718664	0.0020415561828015473	0.02255168625759481	0.023269469312720666	-0.007644728059560168	-0.009170713962809158
EIF1	0.04687259335168929	0.02469061748971743	0.04701035800516436	0.010351131093697933	-0.00252111373087542	0.008441329224001023
EIF1AX	0.00833465369325596	0.007659218602504304	0.008471886728642002	0.022059410292627746	-0.0010637120779445537	-0.0010010079379567881
EIF1B	0.006029572624288435	0.011060065859932286	0.005998757868800481	0.021527271894078246	0.001466098419358613	0.0023576242713498783
EIF2A	0.006392137391872565	0.007611295558438763	0.006629779514215847	0.019676553257581712	0.004101065224977549	0.0008553333279261643
EIF2AK1	0.01281011021864406	0.0004021358454025262	0.01322769007067055	0.014665154997339133	-0.005798292607542493	-0.0077338344428820455
EIF2AK2	0.021562663734962607	0.010216126382593728	0.021881602487722616	0.01803745815597799	-0.0019289840204087315	0.004923247152013915
EIF2AK4	0.0037004447081375423	0.003018332184696974	0.0038567686588520046	0.013572018079771243	0.0031568617317042835	-0.0037093596327543
EIF2S2	0.015571927383462254	0.014772201306933956	0.01575437410554485	0.027700146806533522	0.0049548474834719405	0.0015892508672637232
EIF2S3	0.008158390580829924	0.00992867535054041	0.008375591848492129	0.012577962273942396	-0.004480597476104507	0.009742018960588622
EIF3A	0.025524150555622897	0.01883383297251309	0.02625067605165956	0.025750030344137944	0.00339727677004254	0.0073396036270342285
EIF3B	0.0006254116587580685	0.0011519236958332107	0.0008265269650338051	0.012461321568674268	-0.003555120957326259	-0.006478454042632614
