method,displacement
log1pPF,0.0029716155435513454
log1pPF,0.0070253109390493226
log1pPF,0.010672847500152701
log1pPF,0.004602622139857857
log1pPF,0.0047887750606285745
log1pPF,0.0031602411493464153
log1pPF,0.00953585431199813
log1pPF,0.004993560579523898
log1pPF,0.004952110717869194
log1pPF,0.004212985805929274
log1pPF,0.011491969800945861
log1pPF,0.012352136692849758
log1pPF,0.004138547685295105
log1pPF,0.011396891332061437
log1pPF,0.005957533262063501
log1pPF,0.010015852236351775
log1pPF,0.006559756319177891
log1pPF,0.005442864521769388
log1pPF,0.0041048652526128136
log1pPF,0.0016774403623284041
log1pPF,0.008624239762171719
log1pPF,0.006377931569480899
log1pPF,0.006641812385042744
log1pPF,0.003318347459336075
log1pPF,0.004337515026836314
log1pPF,0.004671121686805461
log1pPF,0.0046201084846356774
log1pPF,0.007222355527871475
log1pPF,0.013518005568627865
log1pPF,0.0034884739007699965
log1pPF,0.0048104686147560395
log1pPF,0.005131627906834853
log1pPF,0.008555174716094625
log1pPF,0.00474433167269255
log1pPF,0.00403630097739316
log1pPF,0.004725465116846756
log1pPF,0.0034960387430300146
log1pPF,0.004045712769975918
log1pPF,0.0044090834479223245
log1pPF,0.010140313843941571
log1pPF,0.004449118848885449
log1pPF,0.003924261735255443
log1pPF,0.007786940022586435
log1pPF,0.007220403223116891
log1pPF,0.00860780943190961
log1pPF,0.004246889308254945
log1pPF,0.010783822284234372
log1pPF,0.004514527384585373
log1pPF,0.005488674573624049
log1pPF,0.0031690137051889867
log1pPF,0.0034655240943257284
log1pPF,0.014467568011403375
log1pPF,0.006750705342720306
PFlog1pPF,0.003856190425057752
PFlog1pPF,0.002949463911218377
PFlog1pPF,0.006686002324370328
PFlog1pPF,0.004691586054170073
PFlog1pPF,0.002964663064128307
PFlog1pPF,0.0034943701885337295
PFlog1pPF,0.004042215263430316
PFlog1pPF,0.004816129439094219
PFlog1pPF,0.006515974074046955
PFlog1pPF,0.005858424322255882
PFlog1pPF,0.004310342828267454
PFlog1pPF,0.0030486865962775205
PFlog1pPF,0.004417103813438813
PFlog1pPF,0.006025721037199793
PFlog1pPF,0.005777296303022803
PFlog1pPF,0.004085061372403035
PFlog1pPF,0.006001339333107986
PFlog1pPF,0.007251246732901926
PFlog1pPF,0.002713202570778312
PFlog1pPF,0.006149713183729977
PFlog1pPF,0.003751913654515706
PFlog1pPF,0.004228636750550434
PFlog1pPF,0.0026922457849168054
PFlog1pPF,0.006266564569567371
PFlog1pPF,0.002221558829782931
PFlog1pPF,0.003971889648464039
PFlog1pPF,0.0042756836628019025
PFlog1pPF,0.005349173028905591
PFlog1pPF,0.003070860212233156
PFlog1pPF,0.004875910588925521
PFlog1pPF,0.003300754070229203
PFlog1pPF,0.006170469798208192
PFlog1pPF,0.00382470187919654
PFlog1pPF,0.004305897614300684
PFlog1pPF,0.004609504641900361
PFlog1pPF,0.003044034526735296
PFlog1pPF,0.004600957100255165
PFlog1pPF,0.0033153003632315735
PFlog1pPF,0.0039479837338933154
PFlog1pPF,0.004670017481382405
PFlog1pPF,0.0028300505169628035
PFlog1pPF,0.0038349594598805544
PFlog1pPF,0.005911565317846692
PFlog1pPF,0.002156422169552705
PFlog1pPF,0.00620745544946667
PFlog1pPF,0.0048332542066488165
PFlog1pPF,0.00442904048716648
PFlog1pPF,0.003266575218194488
PFlog1pPF,0.004176074987663453
PFlog1pPF,0.0036952786411893813
PFlog1pPF,0.005621753576973632
PFlog1pPF,0.012196513514557398
PFlog1pPF,0.004184568478003049
PFlog1pPF,0.014436575371263747
PFlog1pPF,0.006878541589281077
PFlog1pPF,0.003087194364972524
PFlog1pPF,0.0040579244770895815
PFlog1pPF,0.00578648464679605
PFlog1pPF,0.00479262385883195
PFlog1pPF,0.0040261226129791996
PFlog1pPF,0.006542267598742278
PFlog1pPF,0.005712743176418835
PFlog1pPF,0.0045896646369306526
PFlog1pPF,0.005001119764587846
PFlog1pPF,0.003704515740560095
PFlog1pPF,0.005171505469093459
PFlog1pPF,0.004377497003121114
PFlog1pPF,0.0054874531932809
PFlog1pPF,0.003822265272621891
PFlog1pPF,0.0030551568188201808
PFlog1pPF,0.005192207105592465
PFlog1pPF,0.00412638353184989
PFlog1pPF,0.003185795644887772
PFlog1pPF,0.005277878130439941
PFlog1pPF,0.003518588846675635
PFlog1pPF,0.004723401350394864
PFlog1pPF,0.002842588657242741
PFlog1pPF,0.0035788712487231592
PFlog1pPF,0.0036599252915889015
PFlog1pPF,0.005884741052275843
PFlog1pPF,0.0059816092175202975
PFlog1pPF,0.004113460561825648
PFlog1pPF,0.006351073756685862
PFlog1pPF,0.003912041016484141
PFlog1pPF,0.0044620759526435815
PFlog1pPF,0.007097185110647738
PFlog1pPF,0.0017253962272846838
PFlog1pPF,0.005121806413690495
PFlog1pPF,0.003071185981153198
PFlog1pPF,0.005122004099530409
PFlog1pPF,0.002684907106202699
PFlog1pPF,0.003627850825647383
PFlog1pPF,0.005427075966028031
PFlog1pPF,0.0040924374659713466
PFlog1pPF,0.004856883322507126
PFlog1pPF,0.0025351311120481086
PFlog1pPF,0.0038845381969217618
PFlog1pPF,0.00404021909443386
PFlog1pPF,0.004510915538140553
PFlog1pPF,0.003994197208126004
PFlog1pPF,0.003696589834744426
PFlog1pPF,0.004771277066867756
PFlog1pPF,0.006801982587988475
PFlog1pPF,0.0036065251919246886
PFlog1pPF,0.005040153456206424
PFlog1pPF,0.004672988896523211
PFlog1pPF,0.0033208821121004594
PFlog1pPF,0.00343004467076752
PFlog1pPF,0.004426146729367517
PFlog1pPF,0.003922008091730273
PFlog1pPF,0.004212250487763681
PFlog1pPF,0.006765999290082676
PFlog1pPF,0.003499612600687011
